,match_id,gameid,game,blue_team,red_team,result,BRION,GEN,KDF,DK,HLE,KT,DRX,LSB,T1,NS
0,1,ESPORTSTMNT04_2659018,game_1,DK,DRX,DK,0,0,0,1.0,0,0,0.0,0,0,0
1,2,ESPORTSTMNT04_2661035,game_2,DK,DRX,DK,0,0,0,1.0,0,0,0.0,0,0,0
2,3,ESPORTSTMNT04_2660040,game_1,T1,GEN,T1,0,0.0,0,1.0,0,0,0.0,0,1.0,0
3,4,ESPORTSTMNT04_2661049,game_2,T1,GEN,T1,0,0.0,0,1.0,0,0,0.0,0,1.0,0
4,5,ESPORTSTMNT04_2665017,game_1,KDF,HLE,HLE,0,0.0,0.0,1.0,1.0,0,0.0,0,1.0,0
5,6,ESPORTSTMNT04_2664031,game_2,KDF,HLE,HLE,0,0.0,0.0,1.0,1.0,0,0.0,0,1.0,0
6,7,ESPORTSTMNT04_2663029,game_1,NS,BRION,BRION,1.0,0.0,0.0,1.0,1.0,0,0.0,0,1.0,0.0
7,8,ESPORTSTMNT04_2665040,game_2,BRION,NS,BRION,1.0,0.0,0.0,1.0,1.0,0,0.0,0,1.0,0.0
8,9,ESPORTSTMNT04_2665115,game_1,T1,KT,KT,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0.67,0.0
9,10,ESPORTSTMNT04_2664115,game_2,T1,KT,T1,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0,0.75,0.0
10,11,ESPORTSTMNT04_2663131,game_3,T1,KT,T1,1.0,0.0,0.0,1.0,1.0,0.33,0.0,0,0.8,0.0
11,12,ESPORTSTMNT04_2664117,game_1,DK,LSB,DK,1.0,0.0,0.0,1.0,1.0,0.33,0.0,0.0,0.8,0.0
12,13,ESPORTSTMNT04_2665143,game_2,DK,LSB,DK,1.0,0.0,0.0,1.0,1.0,0.33,0.0,0.0,0.8,0.0
13,14,ESPORTSTMNT04_2664153,game_1,GEN,DRX,GEN,1.0,0.33,0.0,1.0,1.0,0.33,0.0,0.0,0.8,0.0
14,15,ESPORTSTMNT04_2663182,game_2,DRX,GEN,GEN,1.0,0.5,0.0,1.0,1.0,0.33,0.0,0.0,0.8,0.0
15,16,ESPORTSTMNT04_2664171,game_1,KDF,BRION,BRION,1.0,0.5,0.0,1.0,1.0,0.33,0.0,0.0,0.8,0.0
16,17,ESPORTSTMNT04_2663193,game_2,KDF,BRION,KDF,0.75,0.5,0.25,1.0,1.0,0.33,0.0,0.0,0.8,0.0
17,18,ESPORTSTMNT04_2665186,game_3,BRION,KDF,BRION,0.8,0.5,0.2,1.0,1.0,0.33,0.0,0.0,0.8,0.0
18,19,ESPORTSTMNT04_2664180,game_1,HLE,LSB,LSB,0.8,0.5,0.2,1.0,0.67,0.33,0.0,0.33,0.8,0.0
19,20,ESPORTSTMNT04_2665208,game_2,HLE,LSB,HLE,0.8,0.5,0.2,1.0,0.75,0.33,0.0,0.25,0.8,0.0
20,21,ESPORTSTMNT04_2664200,game_3,HLE,LSB,LSB,0.8,0.5,0.2,1.0,0.6,0.33,0.0,0.4,0.8,0.0
21,22,ESPORTSTMNT04_2665209,game_1,KT,NS,NS,0.8,0.5,0.2,1.0,0.6,0.25,0.0,0.4,0.8,0.33
22,23,ESPORTSTMNT04_2663232,game_2,KT,NS,KT,0.8,0.5,0.2,1.0,0.6,0.4,0.0,0.4,0.8,0.25
23,24,ESPORTSTMNT04_2664219,game_3,KT,NS,KT,0.8,0.5,0.2,1.0,0.6,0.5,0.0,0.4,0.8,0.2
24,25,ESPORTSTMNT03_3089368,game_1,NS,DK,DK,0.8,0.5,0.2,1.0,0.6,0.5,0.0,0.4,0.8,0.17
