,match_id,gameid,game,blue_team,red_team,result,BRION,NS,GEN,T1,KT,HLE,LSB,KDF,DK,DRX,region_top_wr,region_jg_wr,region_mid_wr,region_adc_wr,region_sup_wr
0,1,ESPORTSTMNT04_2659018,game_1,DK,DRX,DK,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,ESPORTSTMNT04_2661035,game_2,DK,DRX,DK,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.5,0.5,0.5,0.0
2,3,ESPORTSTMNT04_2660040,game_1,T1,GEN,T1,0,0,0.0,1.0,0,0,0,0,1.0,0.0,1.0,1.0,0.0,-0.5,1.0
3,4,ESPORTSTMNT04_2661049,game_2,T1,GEN,T1,0,0,0.0,1.0,0,0,0,0,1.0,0.0,1.0,-0.5,1.0,0.0,0.0
4,5,ESPORTSTMNT04_2665017,game_1,KDF,HLE,HLE,0,0,0.0,1.0,0,1.0,0,0.0,1.0,0.0,0.5,0.0,0.0,-0.5,-0.5
5,6,ESPORTSTMNT04_2664031,game_2,KDF,HLE,HLE,0,0,0.0,1.0,0,1.0,0,0.0,1.0,0.0,-1.0,0.5,-1.0,-0.6,0.5
6,7,ESPORTSTMNT04_2663029,game_1,NS,BRION,BRION,1.0,0.0,0.0,1.0,0,1.0,0,0.0,1.0,0.0,-0.6,0.5,-0.6,-0.5,-0.5
7,8,ESPORTSTMNT04_2665040,game_2,BRION,NS,BRION,1.0,0.0,0.0,1.0,0,1.0,0,0.0,1.0,0.0,1.0,0.429,0.429,-0.5,-0.5
8,9,ESPORTSTMNT04_2665115,game_1,T1,KT,KT,1.0,0.0,0.0,0.67,1.0,1.0,0,0.0,1.0,0.0,0.5,-0.667,1.0,-0.571,0.5
9,10,ESPORTSTMNT04_2664115,game_2,T1,KT,T1,1.0,0.0,0.0,0.75,0.5,1.0,0,0.0,1.0,0.0,-0.167,0.167,-0.25,0.0,0.125
10,11,ESPORTSTMNT04_2663131,game_3,T1,KT,T1,1.0,0.0,0.0,0.8,0.33,1.0,0,0.0,1.0,0.0,-1.0,0.0,0.083,0.0,0.5
11,12,ESPORTSTMNT04_2664117,game_1,DK,LSB,DK,1.0,0.0,0.0,0.8,0.33,1.0,0.0,0.0,1.0,0.0,0.444,-0.4,0.444,0.0,0.667
12,13,ESPORTSTMNT04_2665143,game_2,DK,LSB,DK,1.0,0.0,0.0,0.8,0.33,1.0,0.0,0.0,1.0,0.0,0.5,-0.222,0.5,0.0,0.083
13,14,ESPORTSTMNT04_2664153,game_1,GEN,DRX,GEN,1.0,0.0,0.33,0.8,0.33,1.0,0.0,0.0,1.0,0.0,-0.05,-0.286,-0.5,0.55,0.0
14,15,ESPORTSTMNT04_2663182,game_2,DRX,GEN,GEN,1.0,0.0,0.5,0.8,0.33,1.0,0.0,0.0,1.0,0.0,0.545,0.3,0.045,0.083,0.5
15,16,ESPORTSTMNT04_2664171,game_1,KDF,BRION,BRION,1.0,0.0,0.5,0.8,0.33,1.0,0.0,0.0,1.0,0.0,-0.5,0.127,-0.167,-0.083,-0.4
16,17,ESPORTSTMNT04_2663193,game_2,KDF,BRION,KDF,0.75,0.0,0.5,0.8,0.33,1.0,0.0,0.25,1.0,0.0,-0.429,0.103,-0.143,-0.033,-0.333
17,18,ESPORTSTMNT04_2665186,game_3,BRION,KDF,BRION,0.8,0.0,0.5,0.8,0.33,1.0,0.0,0.2,1.0,0.0,0.333,0.257,0.8,0.192,0.067
18,19,ESPORTSTMNT04_2664180,game_1,HLE,LSB,LSB,0.8,0.0,0.5,0.8,0.33,0.67,0.33,0.2,1.0,0.0,-0.188,-0.5,0.304,0.0,0.214
19,20,ESPORTSTMNT04_2665208,game_2,HLE,LSB,HLE,0.8,0.0,0.5,0.8,0.33,0.75,0.25,0.2,1.0,0.0,-0.141,0.25,-0.375,0.2,0.056
20,21,ESPORTSTMNT04_2664200,game_3,HLE,LSB,LSB,0.8,0.0,0.5,0.8,0.33,0.6,0.4,0.2,1.0,0.0,-0.167,-0.167,0.233,0.095,0.548
21,22,ESPORTSTMNT04_2665209,game_1,KT,NS,NS,0.8,0.33,0.5,0.8,0.25,0.6,0.4,0.2,1.0,0.0,-0.075,0.326,0.354,-0.133,0.25
22,23,ESPORTSTMNT04_2663232,game_2,KT,NS,KT,0.8,0.25,0.5,0.8,0.4,0.6,0.4,0.2,1.0,0.0,-0.2,0.019,-0.394,-0.5,-0.25
23,24,ESPORTSTMNT04_2664219,game_3,KT,NS,KT,0.8,0.2,0.5,0.8,0.5,0.6,0.4,0.2,1.0,0.0,0.542,-0.018,0.0,0.167,0.571
24,25,ESPORTSTMNT03_3089368,game_1,NS,DK,DK,0.8,0.17,0.5,0.8,0.5,0.6,0.4,0.2,1.0,0.0,-0.139,-0.192,-0.269,0.5,-0.625
25,26,ESPORTSTMNT03_3090319,game_2,DK,NS,DK,0.8,0.14,0.5,0.8,0.5,0.6,0.4,0.2,1.0,0.0,0.149,0.118,0.035,-0.088,-0.175
26,27,ESPORTSTMNT03_3090322,game_1,LSB,KT,LSB,0.8,0.14,0.5,0.8,0.43,0.6,0.5,0.2,1.0,0.0,0.0,0.183,-0.111,0.036,-0.167
27,28,ESPORTSTMNT03_3091336,game_2,KT,LSB,KT,0.8,0.14,0.5,0.8,0.5,0.6,0.43,0.2,1.0,0.0,-0.2,0.167,0.05,0.5,-0.075
28,29,ESPORTSTMNT03_3090339,game_3,LSB,KT,LSB,0.8,0.14,0.5,0.8,0.44,0.6,0.5,0.2,1.0,0.0,0.27,-0.301,0.233,-0.111,-0.062
29,30,ESPORTSTMNT03_3089607,game_1,GEN,BRION,GEN,0.67,0.14,0.6,0.8,0.44,0.6,0.5,0.2,1.0,0.0,0.018,-0.312,-0.061,0.0,-0.067
30,31,ESPORTSTMNT03_3090562,game_2,BRION,GEN,GEN,0.57,0.14,0.67,0.8,0.44,0.6,0.5,0.2,1.0,0.0,-0.058,0.107,-0.069,0.176,-0.136
31,32,ESPORTSTMNT03_3090563,game_1,T1,KDF,T1,0.57,0.14,0.67,0.83,0.44,0.6,0.5,0.17,1.0,0.0,0.071,-0.029,0.373,0.2,0.3
32,33,ESPORTSTMNT03_3090572,game_2,KDF,T1,T1,0.57,0.14,0.67,0.86,0.44,0.6,0.5,0.14,1.0,0.0,-0.031,-0.153,-0.436,0.267,0.0
