,gameid,split,blue_team,red_team,blue_wr,red_wr,result
0,ESPORTSTMNT04_2659018,Spring,Dplus KIA,DRX,0.5,0.5,1
1,ESPORTSTMNT04_2661035,Spring,Dplus KIA,DRX,1.0,0.0,1
2,ESPORTSTMNT04_2660040,Spring,T1,Gen.G,0.5,0.5,1
3,ESPORTSTMNT04_2661049,Spring,T1,Gen.G,1.0,0.0,1
4,ESPORTSTMNT04_2665017,Spring,Kwangdong Freecs,Hanwha Life Esports,0.5,0.5,0
5,ESPORTSTMNT04_2664031,Spring,Kwangdong Freecs,Hanwha Life Esports,0.0,1.0,0
6,ESPORTSTMNT04_2663029,Spring,Nongshim RedForce,BRION,0.5,0.5,0
7,ESPORTSTMNT04_2665040,Spring,BRION,Nongshim RedForce,1.0,0.0,1
8,ESPORTSTMNT04_2665115,Spring,T1,KT Rolster,1.0,0.5,0
9,ESPORTSTMNT04_2664115,Spring,T1,KT Rolster,0.6666666666666666,1.0,1
10,ESPORTSTMNT04_2663131,Spring,T1,KT Rolster,0.75,0.5,1
11,ESPORTSTMNT04_2664117,Spring,Dplus KIA,Liiv SANDBOX,1.0,0.5,1
12,ESPORTSTMNT04_2665143,Spring,Dplus KIA,Liiv SANDBOX,1.0,0.0,1
13,ESPORTSTMNT04_2664153,Spring,Gen.G,DRX,0.0,0.0,1
14,ESPORTSTMNT04_2663182,Spring,DRX,Gen.G,0.0,0.3333333333333333,0
15,ESPORTSTMNT04_2664171,Spring,Kwangdong Freecs,BRION,0.0,1.0,0
16,ESPORTSTMNT04_2663193,Spring,Kwangdong Freecs,BRION,0.0,1.0,1
17,ESPORTSTMNT04_2665186,Spring,BRION,Kwangdong Freecs,0.75,0.25,1
18,ESPORTSTMNT04_2664180,Spring,Hanwha Life Esports,Liiv SANDBOX,1.0,0.0,0
19,ESPORTSTMNT04_2665208,Spring,Hanwha Life Esports,Liiv SANDBOX,0.6666666666666666,0.3333333333333333,1
20,ESPORTSTMNT04_2664200,Spring,Hanwha Life Esports,Liiv SANDBOX,0.75,0.25,0
21,ESPORTSTMNT04_2665209,Spring,KT Rolster,Nongshim RedForce,0.3333333333333333,0.0,0
22,ESPORTSTMNT04_2663232,Spring,KT Rolster,Nongshim RedForce,0.25,0.3333333333333333,1
23,ESPORTSTMNT04_2664219,Spring,KT Rolster,Nongshim RedForce,0.4,0.25,1
24,ESPORTSTMNT03_3089368,Spring,Nongshim RedForce,Dplus KIA,0.2,1.0,0
25,ESPORTSTMNT03_3090319,Spring,Dplus KIA,Nongshim RedForce,1.0,0.16666666666666666,1
26,ESPORTSTMNT03_3090322,Spring,Liiv SANDBOX,KT Rolster,0.4,0.5,1
27,ESPORTSTMNT03_3091336,Spring,KT Rolster,Liiv SANDBOX,0.42857142857142855,0.5,1
28,ESPORTSTMNT03_3090339,Spring,Liiv SANDBOX,KT Rolster,0.42857142857142855,0.5,1
29,ESPORTSTMNT03_3089607,Spring,Gen.G,BRION,0.5,0.8,1
30,ESPORTSTMNT03_3090562,Spring,BRION,Gen.G,0.6666666666666666,0.6,0
31,ESPORTSTMNT03_3090563,Spring,T1,Kwangdong Freecs,0.8,0.2,1
32,ESPORTSTMNT03_3090572,Spring,Kwangdong Freecs,T1,0.16666666666666666,0.8333333333333334,0
33,ESPORTSTMNT03_3090837,Spring,DRX,Nongshim RedForce,0.0,0.14285714285714285,1
34,ESPORTSTMNT03_3089931,Spring,DRX,Nongshim RedForce,0.2,0.125,0
35,ESPORTSTMNT03_3090868,Spring,Nongshim RedForce,DRX,0.2222222222222222,0.16666666666666666,1
36,ESPORTSTMNT03_3091907,Spring,Hanwha Life Esports,KT Rolster,0.6,0.4444444444444444,0
37,ESPORTSTMNT03_3090903,Spring,Hanwha Life Esports,KT Rolster,0.5,0.5,0
38,ESPORTSTMNT03_3093250,Spring,T1,Dplus KIA,0.8571428571428571,1.0,0
39,ESPORTSTMNT03_3093271,Spring,T1,Dplus KIA,0.75,1.0,1
40,ESPORTSTMNT03_3094238,Spring,Dplus KIA,T1,0.875,0.7777777777777778,0
41,ESPORTSTMNT03_3092329,Spring,BRION,Liiv SANDBOX,0.5714285714285714,0.5,1
42,ESPORTSTMNT03_3092334,Spring,BRION,Liiv SANDBOX,0.625,0.4444444444444444,0
43,ESPORTSTMNT03_3094264,Spring,BRION,Liiv SANDBOX,0.5555555555555556,0.5,0
44,ESPORTSTMNT03_3093537,Spring,Hanwha Life Esports,Gen.G,0.42857142857142855,0.6666666666666666,0
45,ESPORTSTMNT03_3093557,Spring,Gen.G,Hanwha Life Esports,0.7142857142857143,0.375,0
